Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
30.0;43483547;;1.0;Almenara;Tetuán;Madrid, Spain;House;Private room;1;2.0;1.0;1.0;Real Bed;1;0;1;1125;30;60;90;365;0;;;;;flexible;1.0
65.0;2711109;100.0;14.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;15;3;1125;18;38;62;335;12;9.0;9.0;9.0;8.0;moderate;12.0
38.0;18002042;100.0;1.0;Justicia;Centro;Madrid, Spain;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;1;0;1;35;14;36;62;337;224;10.0;10.0;10.0;10.0;strict;1.0
25.0;40936831;100.0;2.0;Quintana;Ciudad Lineal;Madrid, Spain;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;7;37;67;342;17;9.0;9.0;8.0;9.0;flexible;2.0
216.0;3566146;100.0;142.0;Recoletos;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;2;17;3;1125;10;19;19;157;2;10.0;10.0;10.0;10.0;strict;77.0
39.0;2720073;;3.0;Embajadores;Centro;Madrid, Spain;Dorm;Private room;1;;1.0;;Real Bed;1;5;14;1125;0;0;5;280;0;;;;;strict;3.0
70.0;2934403;100.0;1.0;Ibiza;Retiro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;2;40;4;1125;3;33;63;256;4;10.0;10.0;10.0;10.0;strict;1.0
50.0;1175985;;1.0;Imperial;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;1;0;2;10;0;0;0;0;10;10.0;10.0;10.0;10.0;moderate;1.0
90.0;17250022;29.0;3.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;1;10;2;1125;30;60;90;365;1;8.0;8.0;8.0;10.0;strict;3.0
82.0;20033541;100.0;3.0;El Viso;Chamartín;Madrid, Spain;Apartment;Entire home/apt;6;1.0;3.0;4.0;Real Bed;2;6;3;1125;8;21;51;318;45;9.0;10.0;9.0;10.0;strict;2.0
