Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
60.0;31124866;100.0;2.0;Jerónimos;Retiro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;2;1125;9;32;52;117;12;9.0;10.0;10.0;9.0;moderate;2.0
50.0;85301317;100.0;1.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;1;1125;15;39;64;208;20;9.0;9.0;10.0;10.0;flexible;1.0
10.0;84213235;100.0;16.0;Vista Alegre;Carabanchel;Madrid, Spain;Apartment;Shared room;1;1.5;1.0;8.0;Real Bed;1;0;3;30;14;44;74;140;0;;;;;moderate;16.0
30.0;15258781;100.0;114.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;1;0;10;1125;0;6;36;311;0;;;;;strict;97.0
32.0;1706029;100.0;2.0;Gaztambide;Chamberí;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;10;1;1125;7;34;62;337;97;9.0;9.0;9.0;9.0;strict;2.0
35.0;15604118;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;2;60;21;51;81;356;43;10.0;10.0;10.0;10.0;strict;1.0
80.0;2005372;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;21;1;3;15;45;75;75;24;10.0;10.0;10.0;10.0;flexible;1.0
25.0;15258781;100.0;114.0;Sol;Centro;Madrid, Spain;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;1;5;10;1125;0;0;18;74;0;;;;;strict;97.0
69.0;4200246;97.0;68.0;Calvià;;Illetes, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;3;10;4;36;21;51;81;339;1;10.0;10.0;10.0;10.0;strict;63.0
158.0;596469;100.0;28.0;Goya;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;2;20;7;180;16;26;52;52;3;10.0;9.0;10.0;9.0;strict;28.0
29.0;82696503;100.0;4.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;10;2;1125;14;34;64;65;37;9.0;9.0;10.0;9.0;moderate;4.0
85.0;449990;89.0;8.0;Fuente del Berro;Salamanca;Madrid, Spain;Apartment;Entire home/apt;2;2.0;1.0;2.0;Real Bed;1;0;2;1125;0;0;6;281;0;;;;;flexible;7.0
52.0;22720373;100.0;2.0;Ibiza;Retiro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;20;50;80;355;13;9.0;10.0;10.0;9.0;strict;2.0
55.0;51397305;79.0;2.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;1;0;2;1125;2;27;54;329;27;9.0;8.0;10.0;8.0;moderate;2.0
39.0;2146727;100.0;4.0;Casa de Campo;Moncloa - Aravaca;Madrid, Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;1;13;2;365;4;4;4;86;87;10.0;9.0;10.0;10.0;strict;4.0
65.0;49501483;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;10;2;40;7;24;24;242;37;9.0;9.0;9.0;9.0;moderate;1.0
50.0;68664241;;2.0;Ibiza;Retiro;Madrid, Spain;Apartment;Private room;3;1.0;1.0;3.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;2.0
50.0;9891936;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;2;10;3;30;1;1;1;189;7;8.0;8.0;10.0;9.0;strict;1.0
160.0;4795421;100.0;5.0;Palacio;Centro;Madrid, Spain;Loft;Entire home/apt;4;2.0;2.0;3.0;Real Bed;1;0;2;1125;9;29;51;326;40;9.0;10.0;10.0;9.0;strict;4.0
29.0;17556638;100.0;6.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;1;0;2;1125;0;4;7;60;108;8.0;9.0;9.0;9.0;moderate;5.0
35.0;23444591;100.0;4.0;Almendrales;Usera;Madrid, Spain;House;Private room;2;;1.0;;Real Bed;1;0;1;1125;30;60;90;365;7;8.0;8.0;8.0;9.0;flexible;4.0
14.0;57413149;100.0;2.0;Moscardó;Usera;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;10;2;1125;4;34;63;264;9;10.0;10.0;10.0;9.0;strict;2.0
70.0;4084426;94.0;10.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;;Real Bed;1;0;1;365;10;29;53;328;9;9.0;10.0;10.0;9.0;flexible;10.0
25.0;34160267;100.0;4.0;Etterbeek;;Etterbeek, Belgium;Bed & Breakfast;Private room;1;0.5;1.0;1.0;Pull-out Sofa;1;0;1;1125;0;0;0;0;0;;;;;flexible;1.0
25.0;3008619;80.0;1.0;Lista;Salamanca;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;0;0;90;15;10.0;9.0;9.0;9.0;flexible;1.0
130.0;28038703;100.0;40.0;Vallehermoso;Chamberí;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;1;0;3;1125;18;48;78;353;4;10.0;10.0;8.0;9.0;strict;37.0
60.0;43563176;0.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;25;55;85;176;1;2.0;2.0;;2.0;moderate;1.0
25.0;45239731;;1.0;Prosperidad;Chamartín;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;10;1;10;30;60;90;365;3;10.0;7.0;9.0;9.0;flexible;1.0
26.0;8879142;100.0;6.0;Costillares;Ciudad Lineal;Madrid, Spain;Apartment;Shared room;2;1.0;1.0;4.0;Real Bed;1;14;2;31;30;60;90;365;2;2.0;2.0;6.0;2.0;flexible;6.0
45.0;22791586;99.0;10.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;1;0;2;2;17;45;72;216;16;9.0;9.0;10.0;9.0;strict;9.0
30.0;993166;90.0;2.0;Palma de Mallorca;;Palma, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;27;57;87;362;0;;;;;flexible;1.0
30.0;57879266;100.0;1.0;Ventas;Ciudad Lineal;Madrid, Spain;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;1;0;1;1125;0;0;0;245;11;9.0;10.0;9.0;10.0;flexible;1.0
35.0;8606204;100.0;2.0;Cortes;Centro;Madrid, Spain;Apartment;Private room;3;1.0;1.0;2.0;Real Bed;1;15;2;1125;7;29;48;132;142;10.0;9.0;10.0;9.0;strict;2.0
43.0;28608614;100.0;2.0;Palos de Moguer;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;6;12;92;1;10.0;10.0;8.0;10.0;moderate;2.0
50.0;49476965;100.0;3.0;Universidad;Centro;Madrid, Spain;Dorm;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;0;0;153;3;9.0;9.0;10.0;9.0;flexible;2.0
90.0;1620793;90.0;1.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;3;10;3;30;13;29;51;321;59;10.0;9.0;10.0;9.0;moderate;1.0
69.0;78093977;100.0;2.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;6;11;38;313;12;10.0;10.0;10.0;10.0;flexible;2.0
72.0;927343;100.0;3.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;15;4;500;8;20;36;311;49;9.0;10.0;9.0;9.0;strict;3.0
11.0;96147078;100.0;30.0;Argüelles;Moncloa - Aravaca;Madrid, Spain;Apartment;Shared room;10;1.0;1.0;10.0;Real Bed;1;15;1;1125;25;55;85;175;3;6.0;7.0;9.0;6.0;strict;29.0
25.0;1718458;100.0;32.0;Universidad;Centro;Madrid, Spain;Apartment;Private room;9;4.0;6.0;9.0;Real Bed;1;22;4;300;21;51;81;356;3;9.0;9.0;10.0;10.0;strict;25.0
49.0;27526991;100.0;57.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;1;10;1;28;16;46;71;162;37;9.0;9.0;10.0;9.0;moderate;48.0
25.0;81061442;;1.0;Goya;Salamanca;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;1.0
55.0;34598150;100.0;1.0;Embajadores;Centro;Madrid, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;9;24;52;327;7;10.0;10.0;10.0;10.0;moderate;1.0
38.0;38347848;100.0;1.0;Fuente del Berro;Salamanca;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;7;1;1125;9;19;30;301;35;9.0;9.0;10.0;9.0;moderate;1.0
150.0;5012713;100.0;10.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;7;2.0;2.0;5.0;Real Bed;5;25;2;1125;7;17;32;305;40;9.0;9.0;9.0;8.0;flexible;6.0
45.0;33587265;100.0;6.0;Cuatro Caminos;Tetuán;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;2;15;2;1125;2;26;56;328;7;10.0;9.0;10.0;9.0;strict;6.0
188.0;8864750;100.0;74.0;Artà;;Betlem, Spain;Chalet;Entire home/apt;8;2.0;4.0;5.0;Real Bed;1;0;7;1125;6;36;56;153;0;;;;;strict;64.0
35.0;24658401;83.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;2;0;2;1125;1;1;7;52;7;9.0;9.0;9.0;8.0;strict;1.0
35.0;108578808;100.0;1.0;Castillejos;Tetuán;Madrid, Spain;House;Private room;2;1.0;1.0;2.0;Real Bed;1;0;2;1125;9;33;63;215;4;10.0;10.0;9.0;10.0;flexible;1.0
90.0;2105590;100.0;5.0;Castellana;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;2;24;3;1125;7;34;60;291;2;9.0;7.0;10.0;10.0;strict;3.0
42.0;8043857;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;3;15;3;1125;0;0;0;97;12;9.0;10.0;9.0;9.0;moderate;1.0
150.0;10974652;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;3;50;3;10;2;16;20;100;31;9.0;9.0;10.0;9.0;strict;1.0
90.0;4967875;100.0;10.0;Ibiza;Retiro;Madrid, Spain;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;4;10;2;1125;0;12;38;310;3;9.0;9.0;10.0;9.0;strict;10.0
66.0;10428310;100.0;1.0;Passy;;Paris, France;Apartment;Entire home/apt;2;1.0;0.0;1.0;Pull-out Sofa;1;0;1;15;18;43;65;66;2;10.0;10.0;10.0;10.0;flexible;1.0
118.0;71304449;100.0;2.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;4;17;2;1125;14;33;44;307;24;9.0;9.0;10.0;9.0;flexible;2.0
40.0;24150752;100.0;2.0;Universidad;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;15;2;15;7;30;56;319;20;10.0;10.0;10.0;9.0;moderate;2.0
40.0;28420470;;1.0;Almagro;Chamberí;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;1.0
20.0;29058763;;2.0;Guindalera;Salamanca;Madrid, Spain;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;1;0;5;1125;0;0;0;0;1;10.0;10.0;10.0;10.0;flexible;1.0
95.0;1784424;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;4;10;3;1125;1;10;15;234;181;10.0;10.0;9.0;10.0;moderate;1.0
68.0;10651006;99.0;10.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;1;0;3;365;10;31;61;336;34;8.0;8.0;10.0;9.0;strict;5.0
85.0;22273518;100.0;1.0;San Isidro;Carabanchel;Madrid, Spain;Loft;Entire home/apt;4;1.0;2.0;2.0;Real Bed;5;0;3;1125;16;37;62;327;24;10.0;10.0;9.0;10.0;strict;1.0
100.0;40516896;;;Castillejos;Tetuán;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;7;20;0;0;0;0;0;;;;;flexible;1.0
25.0;11243579;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;1;0;2;15;9;26;51;326;39;10.0;10.0;10.0;9.0;moderate;1.0
79.0;56400138;94.0;2.0;Embajadores;Centro;Madrid, Spain;Condominium;Entire home/apt;4;1.0;1.0;1.0;Real Bed;1;0;2;1125;15;45;75;350;10;9.0;9.0;10.0;10.0;strict;2.0
57.0;1796353;100.0;1.0;Timón;Barajas;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;3;10;2;1125;4;7;26;95;73;9.0;9.0;9.0;9.0;moderate;1.0
20.0;83152628;;1.0;Acacias;Arganzuela;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;3;1125;0;0;0;0;7;10.0;10.0;10.0;9.0;flexible;1.0
49.0;108814600;100.0;1.0;Aeropuerto;Barajas;Madrid, Spain;House;Private room;5;3.0;3.0;3.0;Real Bed;1;20;1;6;19;44;73;344;11;10.0;9.0;10.0;10.0;moderate;1.0
115.0;8244614;98.0;17.0;Palos de Moguer;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;7;1.0;3.0;5.0;Real Bed;4;10;5;90;14;35;59;147;3;10.0;10.0;9.0;10.0;moderate;10.0
65.0;39096424;100.0;1.0;Palos de Moguer;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;1;0;3;1125;8;28;58;333;2;10.0;9.0;9.0;10.0;moderate;1.0
60.0;15605156;100.0;4.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;15;1;1125;9;25;40;315;105;10.0;10.0;10.0;10.0;strict;3.0
65.0;24216962;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;2;10;2;1125;12;19;28;303;76;10.0;9.0;9.0;9.0;moderate;1.0
32.0;32040456;90.0;1.0;Justicia;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;1;0;2;1125;3;5;24;30;3;10.0;9.0;10.0;9.0;moderate;1.0
80.0;3926474;100.0;10.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;9;3;300;0;16;37;305;22;10.0;9.0;10.0;9.0;flexible;10.0
62.0;111451413;100.0;2.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;0;2;1125;3;8;11;87;16;10.0;10.0;10.0;9.0;flexible;2.0
50.0;8983761;33.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;1;1.0;0.0;1.0;Real Bed;1;0;2;1125;0;1;1;165;4;10.0;9.0;9.0;8.0;moderate;1.0
55.0;36717691;100.0;1.0;Hispanoamérica;Chamartín;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;2;0;2;1125;0;6;22;223;44;10.0;10.0;10.0;10.0;moderate;1.0
49.0;27526991;100.0;57.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;1;10;1;28;13;29;57;139;59;9.0;9.0;10.0;9.0;moderate;48.0
32.0;13019936;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;2;15;1;1125;4;34;64;339;8;10.0;10.0;10.0;10.0;strict;1.0
24.0;101263067;100.0;2.0;Ambroz;Vicálvaro;Madrid, Spain;Chalet;Private room;2;2.0;1.0;1.0;Real Bed;2;0;2;14;0;2;32;32;3;9.0;9.0;8.0;10.0;flexible;2.0
27.0;3908623;100.0;6.0;San Diego;Puente de Vallecas;Madrid, Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;1;12;2;1125;4;4;9;284;51;9.0;9.0;9.0;9.0;flexible;6.0
120.0;84145545;100.0;2.0;Cármenes;Latina;Madrid, Spain;House;Entire home/apt;5;1.0;2.0;3.0;Real Bed;4;20;1;1125;10;24;54;329;0;;;;;flexible;2.0
20.0;99233843;86.0;1.0;Acacias;Arganzuela;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;15;1;10;2;7;19;28;29;10.0;10.0;9.0;10.0;flexible;1.0
140.0;18405319;100.0;4.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;4;30;2;1125;5;23;48;323;43;10.0;9.0;10.0;9.0;strict;2.0
35.0;90304960;100.0;4.0;Sol;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;2;14;5;22;43;318;27;10.0;10.0;10.0;10.0;strict;4.0
40.0;64264624;83.0;2.0;Vinateros;Moratalaz;Madrid, Spain;Apartment;Private room;2;1.0;2.0;4.0;Real Bed;1;0;1;1125;29;59;89;180;0;;;;;moderate;2.0
29.0;43060504;100.0;1.0;Arapiles;Chamberí;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;30;2;20;49;139;96;10.0;10.0;10.0;10.0;strict;1.0
59.0;47391110;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;2;10;2;1125;5;12;34;300;75;10.0;10.0;9.0;10.0;moderate;1.0
200.0;10175848;;1.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;4;2.0;1.0;4.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;1.0
60.0;116645943;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;15;3;31;10;29;50;125;2;10.0;9.0;9.0;10.0;flexible;1.0
22.0;112404758;91.0;4.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;21;46;76;76;3;10.0;9.0;10.0;9.0;flexible;4.0
32.0;8879142;100.0;6.0;Almenara;Tetuán;Madrid, Spain;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;1;16;1;1125;0;3;33;308;57;9.0;9.0;9.0;9.0;moderate;6.0
37.0;1178795;100.0;9.0;Sol;Centro;Madrid, Spain;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;1;0;1;10;6;26;42;309;70;9.0;9.0;10.0;9.0;strict;9.0
70.0;3360175;100.0;3.0;Pueblo Nuevo;Ciudad Lineal;Madrid, Spain;Apartment;Entire home/apt;5;1.0;3.0;5.0;Real Bed;1;0;1;1125;0;0;3;278;3;9.0;9.0;9.0;9.0;flexible;3.0
55.0;1130651;98.0;16.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;3;;1.0;2.0;Real Bed;2;10;2;365;10;33;56;329;331;9.0;8.0;9.0;9.0;strict;5.0
90.0;33180310;87.0;2.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;10;2;1125;28;58;88;363;5;10.0;10.0;10.0;10.0;moderate;2.0
403.0;123257013;;1.0;Peñagrande;Fuencarral - El Pardo;马德里, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;29;59;89;364;0;;;;;flexible;1.0
60.0;12263447;;1.0;Concepción;Ciudad Lineal;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;15;2;7;30;60;90;365;1;;;;;moderate;1.0
150.0;9696587;100.0;2.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;4;15;2;1125;12;20;33;255;105;10.0;10.0;10.0;10.0;strict;2.0
35.0;12579685;100.0;3.0;I Centro Storico;;Rome, Italy;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;2;0;1;1125;6;18;38;169;226;10.0;10.0;9.0;10.0;strict_new;3.0
17.0;10154074;100.0;2.0;Pacífico;Retiro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;2;1125;6;21;42;143;33;9.0;8.0;9.0;9.0;moderate;2.0
25.0;54637007;100.0;1.0;Universidad;Centro;Madrid, Spain;Condominium;Entire home/apt;2;1.0;1.0;2.0;Real Bed;1;0;2;1125;7;17;38;67;37;8.0;8.0;9.0;8.0;strict;1.0
32.0;31402665;100.0;2.0;Argüelles;Moncloa - Aravaca;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;4;17;35;114;20;10.0;9.0;9.0;10.0;moderate;2.0
59.0;27415854;;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;15;30;0;0;0;0;0;;;;;flexible;1.0
150.0;26435996;73.0;5.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;1;1125;27;57;87;362;1;;;;;strict;5.0
45.0;4424170;100.0;4.0;San Juan Bautista;Ciudad Lineal;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;2;8;3;360;6;6;17;271;52;10.0;10.0;9.0;10.0;strict;4.0
90.0;105663223;72.0;32.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;2;1125;10;38;64;339;0;;;;;super_strict_30;2.0
40.0;124603915;;1.0;Universidad;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;4;10;6;6;6;6;0;;;;;flexible;1.0
130.0;6282893;100.0;15.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;4;20;3;1125;10;19;36;177;54;10.0;10.0;10.0;10.0;strict;15.0
16.0;112503975;100.0;1.0;San Isidro;Carabanchel;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;2;15;12;42;72;347;9;10.0;9.0;9.0;9.0;strict;1.0
120.0;4190343;100.0;23.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;7;2.0;2.0;4.0;Real Bed;4;18;2;60;2;5;12;252;96;10.0;9.0;10.0;9.0;strict;23.0
80.0;41933900;100.0;3.0;Ibiza;Retiro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;2;50;2;1125;29;59;89;364;0;;;;;flexible;3.0
11.0;122912899;100.0;1.0;Palomeras Sureste;Puente de Vallecas;Madrid, Spain;Condominium;Private room;2;1.0;1.0;1.0;Real Bed;1;11;2;12;18;26;27;27;0;;;;;strict;1.0
79.0;112765104;100.0;2.0;Castillejos;Tetuán;Madrid, Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;1;0;2;1125;25;31;45;275;1;10.0;10.0;10.0;10.0;flexible;1.0
25.0;31731091;0.0;1.0;Mirasierra;Fuencarral - El Pardo;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;30;60;90;365;0;;;;;flexible;1.0
80.0;70882648;75.0;2.0;Universidad;Centro;Madrid, Spain;Loft;Entire home/apt;4;1.0;1.0;1.0;Real Bed;2;20;2;10;2;8;38;38;16;10.0;9.0;10.0;10.0;flexible;2.0
23.0;1718458;100.0;32.0;Trafalgar;Chamberí;Madrid, Spain;Apartment;Private room;9;2.0;6.0;9.0;Real Bed;1;22;5;2555;30;60;90;365;7;9.0;9.0;9.0;9.0;strict;25.0
43.0;90497929;100.0;8.0;Embajadores;Centro;Madrid, Spain;Guesthouse;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;23;53;80;355;0;;;;;flexible;8.0
50.0;49244007;100.0;2.0;Quintana;Ciudad Lineal;Madrid, Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;2;10;4;1125;5;21;21;21;20;10.0;10.0;9.0;10.0;moderate;2.0
32.0;117752844;;38.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;1;0;7;1125;0;6;36;311;0;;;;;strict;38.0
144.0;3566146;100.0;142.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;4;17;3;1125;10;23;39;223;1;10.0;10.0;10.0;10.0;strict;77.0
18.0;15470587;100.0;1.0;Comillas;Carabanchel;Madrid, Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;1;5;1;1125;14;31;31;90;34;10.0;9.0;9.0;9.0;flexible;1.0
35.0;35050911;100.0;2.0;Palos de Moguer;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;2;15;2;1125;9;24;28;303;50;10.0;10.0;9.0;10.0;moderate;2.0
40.0;5835481;;1.0;Rios Rosas;Chamberí;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;1.0
20.0;23655372;100.0;1.0;Puerta Bonita;Carabanchel;Madrid, Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;1;0;1;1125;6;6;7;97;8;10.0;9.0;9.0;10.0;moderate;1.0
75.0;17532210;100.0;1.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;3;5;2;1125;2;23;49;316;4;10.0;10.0;9.0;10.0;moderate;1.0
21.0;97763462;100.0;2.0;Palomeras Sureste;Puente de Vallecas;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;2;10;2;1125;24;40;70;192;4;8.0;9.0;7.0;10.0;strict;2.0
17.0;8371586;100.0;1.0;Lucero;Latina;Madrid, Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;1;0;1;360;2;8;24;241;43;9.0;9.0;8.0;9.0;strict;1.0
21.0;110273211;100.0;1.0;Justicia;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;1;0;1;1125;0;0;0;0;3;10.0;10.0;10.0;9.0;flexible;1.0
19.0;96846155;100.0;2.0;Ventas;Ciudad Lineal;Madrid, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;1;10;1;1125;2;13;36;124;14;9.0;9.0;9.0;9.0;strict;2.0
